"50",NULL,"top","1","Manage User","13",,,"1"
"51",NULL,"top","1","Membership",NULL,,,"1"
"52",NULL,"top","1","Network Graph",NULL,,,"1"
"53",NULL,"top","1","Member",NULL,,,"1"
"54",NULL,"top","1","Reports",NULL,,,"1"
"55",NULL,"top","1","Statistics",NULL,,,"1"
"56",NULL,"top","1","Settings",NULL,,,"1"
"57",NULL,"top","1","Profile",NULL,,,"1"
"58","51","top","1","Manage PIN & ID Barang","9",,,"1"
"59","51","top","1","Reserved PIN","18",,,"1"
"60","53","top","1","Set/Approve Repeat Order",NULL,,,"1"
"61","53","top","1","Withdraw List",NULL,,,"1"
"100",NULL,"top","1","Logout","4",,,"1"
